requirement_id,source,rationale,implementation,validation_evidence,verification_evidence,test_ids,status
SRQ023,prediction_contract.md: conjunto de informação causal; predictive_function_fmea.md,Evitar antecipação do evento e contaminação entre motores.,features/causal.py:CausalTelemetryFeatures,"Revisão das definições contra F_i,t e fronteira por unidade em reports/classical_ml_report.md.","Invariância a sufixo, janelas e acumulação por unidade verificadas.",test_causal_features.CausalFeatureTests.test_future_suffix_cannot_change_existing_features; test_causal_features.CausalFeatureTests.test_windows_and_accumulation_never_cross_unit_id; test_causal_features.CausalFeatureTests.test_forbidden_fields_are_absent_and_constants_are_train_selected,verified
SRQ024,"SRQ001, SRQ002, SRQ011; escopo da etapa clássica",Evitar contaminação OOF por linhas correlacionadas ou preprocessing ajustado no holdout.,"application/classical_ml_fd001.py:grouped_unit_folds,run_classical_ml; reports/classical_ml/artifacts/fold_manifest.json",Revisão da unidade estatística e finalidade futura da fusão em reports/classical_ml_report.md.,"Disjunção, cobertura, seed, paths e unicidade de previsões verificadas.",test_classical_ml_pipeline.ClassicalPipelineTests.test_grouped_folds_are_reproducible_disjoint_and_complete; test_classical_ml_pipeline.ClassicalPipelineTests.test_pipeline_uses_only_train_validation_and_writes_separate_artifacts,verified
SRQ025,eda_report.md: desbalanceamento; escopo da etapa clássica,Evitar domínio silencioso da classe majoritária e de motores longos.,models/ml/classical.py:_unit_and_class_balanced_weights,Revisão da ponderação por unidade e classe; adequação operacional permanece limitada ao benchmark.,"Sumários dos quatro artefatos registram contagens, fórmula e faixa de pesos.",test_classical_models.ClassicalModelTests.test_training_summary_records_class_and_unit_weighting; test_classical_ml_pipeline.ClassicalPipelineTests.test_pipeline_uses_only_train_validation_and_writes_separate_artifacts,verified
SRQ026,SRQ003-SRQ007; prediction_contract.md; escopo da etapa clássica,Permitir substituição controlada sem ocultar falhas de entrada ou artefato.,"models/ml/classical.py:RandomForestRiskModel,XGBoostRiskModel; reports/classical_ml/*_model_card.json","Model cards registram input/output, horizonte, dependências e limitações.","Limites, reprodução, horizonte, estado inválido e round-trip verificados nos dois modelos.",test_classical_models.ClassicalModelTests.test_scores_bounds_reproducibility_and_horizon_contract; test_classical_models.ClassicalModelTests.test_save_load_reproduces_predictions_and_configuration; test_classical_models.ClassicalModelTests.test_invalid_input_returns_explicit_unavailable_status; test_classical_models.ClassicalModelTests.test_target_horizon_must_equal_model_horizon,verified
SRQ027,arp_mapping.md: common cause/independence awareness; safety_reliability_scope.md,Evitar confiança indevida em modelos sujeitos às mesmas causas de erro.,docs/model_common_dependencies.md; docs/predictive_function_fmea.md; reports/classical_ml/*_model_card.json,"Análise qualitativa cobre dados, alvo, features, runtime, avaliação e validation compartilhados.",Presença das dependências e limitação de independência verificada nos cards gerados.,test_classical_ml_pipeline.ClassicalPipelineTests.test_pipeline_uses_only_train_validation_and_writes_separate_artifacts,verified
SRQ028,SRQ011; escopo da etapa clássica,Evitar importância/seleção otimista por reutilização de validation ou testes.,features/causal.py; application/classical_ml_fd001.py: permutation_importance OOF; reports/classical_ml/artifacts/xgboost_permutation_importance_oof.parquet,Relatório distingue permutation OOF de gain no ajuste completo e de efeito causal.,"Folds de permutação, caminhos lidos e artefatos separados verificados.",test_classical_ml_pipeline.ClassicalPipelineTests.test_grouped_folds_are_reproducible_disjoint_and_complete; test_classical_ml_pipeline.ClassicalPipelineTests.test_pipeline_uses_only_train_validation_and_writes_separate_artifacts,verified
SRQ029,prediction_contract.md: coerência dos horizontes; resultados 0.6.0,Eventos aninhados exigem detectar risco H15 maior que H30 antes da interpretação conjunta.,application/classical_ml_fd001.py:_horizon_coherence; reports/classical_ml/metrics.json,Relatório registra que modelos separados não impõem monotonicidade e não aplica correção silenciosa.,"Pareamento em validation registra contagem, fração e magnitude por algoritmo.",test_classical_ml_pipeline.ClassicalPipelineTests.test_pipeline_uses_only_train_validation_and_writes_separate_artifacts,verified
SRQ030,SRQ012; problem_definition.md; escopo da etapa clássica,Separar métrica binária provisória de política operacional dependente de custos.,evaluation/probability.py:threshold_metrics; configs/classical_ml.toml; reports/classical_ml_report.md,"Threshold 0,5 é explícito e rotulado como exploratório; política de alerta continua ausente.",Cálculo conhecido e metadados/relatório verificados.,test_classical_models.ClassicalModelTests.test_exploratory_threshold_metrics_use_explicit_threshold; test_classical_ml_pipeline.ClassicalPipelineTests.test_pipeline_uses_only_train_validation_and_writes_separate_artifacts,verified
SRQ031,Contrato landmark e SRQ001/002/024,Congelar informacao na origem,models/temporal/discrete_hazard.py; application/discrete_hazard_fd001.py,docs/prediction_contract.md; reports/discrete_hazard_report.md,Testes de prefixo e isolamento; reports/discrete_hazard_verification.txt,test_discrete_hazard_pipeline.HazardPipelineTests.test_prefix_features_frozen_in_landmarks; test_discrete_hazard_pipeline.HazardPipelineTests.test_pipeline_isolation_oof_and_artifacts,verified
SRQ032,Contrato censura e SRQ015,Nao rotular passos desconhecidos como negativos,models/temporal/discrete_hazard.py:landmark_masks,docs/prediction_contract.md; ASM011; reports/discrete_hazard_report.md,Mascaras e perda comparadas com expansao; reports/discrete_hazard_verification.txt,test_discrete_hazard.DiscreteHazardTests.test_landmark_event_step_and_no_unit_mixing; test_discrete_hazard.DiscreteHazardTests.test_synthetic_censoring_masks_unknown_steps; test_discrete_hazard.DiscreteHazardTests.test_factored_loss_matches_expansion_and_gradient,verified
SRQ033,Contrato probabilistico e SRQ003/004/029,Preservar eventos aninhados,models/temporal/discrete_hazard.py:predict_hazards,prediction_contract.md; reports/discrete_hazard_report.md,Limites e prefixos testados; metrics.json; reports/discrete_hazard_verification.txt,test_discrete_hazard.DiscreteHazardTests.test_bounds_and_horizon_coherence,verified
SRQ034,SRQ005-010 e SRQ024,Rastrear estimador e conter saidas invalidas,models/temporal/discrete_hazard.py; reports/discrete_hazard/model_card.json,docs/prediction_contract.md; reports/discrete_hazard_report.md,Round-trip e OOF verificados; reports/discrete_hazard_verification.txt,test_discrete_hazard.DiscreteHazardTests.test_save_load_and_reproducibility; test_discrete_hazard.DiscreteHazardTests.test_invalid_input_explicit_status_and_forbidden_features; test_discrete_hazard_pipeline.HazardPipelineTests.test_pipeline_isolation_oof_and_artifacts; test_discrete_hazard.DiscreteHazardTests.test_optimizer_failure_is_not_a_fitted_model; test_discrete_hazard.DiscreteHazardTests.test_nonfinite_hazard_returns_unavailable,verified
SRQ061,"telemetry reduction experiment; prediction_contract.md","Full precisa ser referência equivalente antes da comparação","application/telemetry_reduction_fd001.py:_full_equivalence; reports/telemetry_filtering/development_results.json","Validation mostrou diferença máxima 0/XGB e <3e-15/hazard/fusão","development_results.json; full reference equivalence","test_telemetry_reduction_experiment.TelemetryReductionTests.test_bytes_and_sensor_accounting",verified
SRQ062,"prediction_contract.md; mudança de fluxo","Impedir recuperação de telemetria omitida","filtering/experiment.py; features/causal.py:transform_receiver_frame","Validation usa receiver_values e features receiver-aware","receiver states and causal feature verification","test_receiver_aware_features.ReceiverAwareFeatureTests.test_future_transmission_cannot_change_prefix; test_telemetry_reduction_experiment.TelemetryReductionTests.test_source_changes_after_hold_do_not_change_receiver",verified
SRQ063,"SRQ023; D048","HLV não é amostra nova","features/causal.py:fit_receiver_frame/transform_receiver_frame","Fast path Full e holds verificados","receiver-aware feature verification","test_receiver_aware_features.ReceiverAwareFeatureTests.test_holds_copy_features_without_updating_history",verified
SRQ064,"SRQ024; protocolo matched","Refazer estado aprendido por fold","application/telemetry_reduction_fd001.py:train_matched_policy; artifacts/matched/*","OOF por unidade e manifests sem overlap","fold manifests and matched validation artifacts","test_telemetry_reduction_experiment.TelemetryReductionTests.test_grid_is_reproducible_and_criteria_predeclared",verified
SRQ065,"SRQ011; change_impact_template.md","Grade e seeds reproduzíveis","configs/telemetry_reduction_experiment.toml; development_results.json","Hash da config e políticas resolvidas salvos","configuration hash and result manifest","test_telemetry_reduction_experiment.TelemetryReductionTests.test_grid_is_reproducible_and_criteria_predeclared",partial
SRQ066,"SRQ043; protocolo de redução","Preservar denominadores e estados","application/telemetry_reduction_fd001.py:evaluate_prediction_table; development_metrics.parquet","coverage/stale/degraded/unavailable por oportunidade","development metrics by status","test_telemetry_reduction_experiment.TelemetryReductionTests.test_acceptance_keeps_unavailable_and_stale_explicit",verified
SRQ067,"SRQ012; contrato de alertas","Parear alertas e explicitar ausência","application/telemetry_reduction_fd001.py:alert_metrics_by_unit_complete","Latência e missed failures por unidade salvas","per-unit alert metrics","test_telemetry_reduction_experiment.TelemetryReductionTests.test_missing_alert_is_not_finite_latency",verified
SRQ068,"assurance scope; solicitação da etapa","Critérios experimentais congelados antes do holdout","configs/telemetry_reduction_experiment.toml; reports/telemetry_filtering/freeze_manifest.json","Hash e critérios versionados antes da leitura","freeze manifest and acceptance protocol","test_telemetry_reduction_experiment.TelemetryReductionTests.test_grid_is_reproducible_and_criteria_predeclared",partial
SRQ069,"SRQ051; receipt fusion 0.9","Limitar leitura a candidatos congelados e uma vez","Frozen manifest/gate em application/telemetry_reduction_fd001.py:run_frozen_test","Receipt específico com exposição histórica declarada; read_count=1; official_nasa_test_read=false","freeze gate and one-shot receipt","test_fusion.AlertPolicyTests.test_holdout_gate_requires_freeze_and_refuses_second_evaluation",verified
SRQ090,"prediction_contract.md; etapa 0.14.0","Impedir leitura causal ou física indevida de SHAP","evaluation/explainability.py:top_shap_contributions; application/explainability_uncertainty_fd001.py:_xgboost_shap","reports/explainability_uncertainty_report.md; xgboost_shap_local.parquet","Consistência do XGBoost congelado e schema local verificados","test_explainability_uncertainty.ExplanationSemanticsTests.test_local_shap_has_direction_and_relative_magnitude",verified
SRQ091,"prediction_contract.md; monitoring_architecture.md","Separar probabilidades de indicadores auxiliares","evaluation/explainability.py:validate_explanation_frame; validation_explanations.parquet","reports/explainability_uncertainty_report.md","Limites probabilísticos e semântica auxiliar testados","test_explainability_uncertainty.ExplanationSemanticsTests.test_anomaly_and_disagreement_remain_non_probability_indicators",verified
SRQ092,"SRQ041; etapa 0.14.0","Auditar calibração por métricas complementares","evaluation/calibration.py; calibration_metrics.parquet; reliability_curves.parquet","reports/explainability_uncertainty_report.md","ECE, intercepto/slope e indisponibilidade explícita testados","test_explainability_uncertainty.CalibrationAuditTests.test_ece_and_calibration_fit_are_explicit; test_explainability_uncertainty.CalibrationAuditTests.test_uncalculable_calibration_fit_is_not_silenced",verified
SRQ093,"dependência temporal FD001","Não tratar ciclos correlacionados como clusters independentes","evaluation/uncertainty.py; configs/explainability_uncertainty.toml","reports/explainability_uncertainty_report.md; metrics.json","Trajetória completa, duplicatas, seed e inválidos verificados","test_explainability_uncertainty.UnitBootstrapTests.test_resampling_keeps_whole_units_and_separates_duplicate_draws; test_explainability_uncertainty.UnitBootstrapTests.test_bootstrap_is_reproducible_and_counts_invalid_replicates",verified
SRQ094,"arp_mapping.md; assurance scope","Distinguir validação de requisito de verificação da implementação","application/explainability_uncertainty_fd001.py:_write_requirements_reports; application/final_assurance.py:run_audit","reports/requirements_validation_report.md; reports/requirements_verification_report.md; reports/final_assurance_report.md","Matriz alinhada, referências de teste existentes e auditoria final executável","test_assurance_traceability.TraceabilityTests.test_requirements_matrix_and_test_references_are_consistent; test_final_assurance.FinalAssuranceTests.test_final_audit_core_checks_pass",verified
SRQ095,"SRQ047; SRQ090","Vincular reason codes a evidência numérica real","application/explainability_uncertainty_fd001.py:_integrated_explanations; validation_explanations.parquet","reports/explainability_uncertainty_report.md","Contribuições e thresholds congelados persistidos por chave","test_explainability_uncertainty.ExplanationSemanticsTests.test_local_shap_has_direction_and_relative_magnitude; test_explainability_uncertainty.ExplanationSemanticsTests.test_scope_guard_rejects_test_or_retraining",verified
